Symbol,group
Gart,EuRBP
RpLP0,EuRBP
bru1,EuRBP
Arl1,EuRBP
Argk,EuRBP
aub,EuRBP
bic,EuRBP
BicC,EuRBP
BicD,EuRBP
brm,EuRBP
bur,EuRBP
c(3)G,EuRBP
CkIIbeta,EuRBP
salr,EuRBP
crn,EuRBP
cup,EuRBP
CycB,EuRBP
SmF,EuRBP
1-Dec,EuRBP
Dip-B,EuRBP
dwg,EuRBP
eEF1alpha2,EuRBP
eEF2,EuRBP
egl,EuRBP
exu,EuRBP
for,EuRBP
g,EuRBP
Got1,EuRBP
Got2,EuRBP
Gs1,EuRBP
GstD1,EuRBP
hay,EuRBP
His2Av,EuRBP
Hrb98DE,EuRBP
Hsc70-5,EuRBP
Hsp83,EuRBP
Idh,EuRBP
Kr,EuRBP
kz,EuRBP
Hlc,EuRBP
Grip91,EuRBP
eIF4A,EuRBP
FBgn0001974,EuRBP
stc,EuRBP
esg,EuRBP
wor,EuRBP
Mtr4,EuRBP
mRpL4,EuRBP
swm,EuRBP
AspRS,EuRBP
dre4,EuRBP
Prosbeta6,EuRBP
dco,EuRBP
hyd,EuRBP
lds,EuRBP
RpL36,EuRBP
RpS5a,EuRBP
RpLP1,EuRBP
RpS3,EuRBP
RpL32,EuRBP
Map205,EuRBP
mago,EuRBP
mle,EuRBP
mod,EuRBP
Rpn8,EuRBP
mus301,EuRBP
mus308,EuRBP
Blm,EuRBP
ncd,EuRBP
nos,EuRBP
odd,EuRBP
okr,EuRBP
osk,EuRBP
Fib,EuRBP
Pfk,EuRBP
polo,EuRBP
pum,EuRBP
r,EuRBP
ras,EuRBP
Ras85D,EuRBP
rl,EuRBP
r-l,EuRBP
Rm62,EuRBP
RpLP2,EuRBP
RpII18,EuRBP
RpII215,EuRBP
RpI135,EuRBP
RpL4,EuRBP
sbr,EuRBP
RanGAP,EuRBP
shi,EuRBP
shn,EuRBP
sm,EuRBP
snf,EuRBP
sol,EuRBP
spn-E,EuRBP
Sry-delta,EuRBP
sta,EuRBP
stau,EuRBP
su(f),EuRBP
su(Hw),EuRBP
Su(var)205,EuRBP
su(w[a]),EuRBP
CCT1,EuRBP
tko,EuRBP
Tm1,EuRBP
tra,EuRBP
tra2,EuRBP
tud,EuRBP
RpL40,EuRBP
RpS27A,EuRBP
ush,EuRBP
Prosalpha4,EuRBP
Pp1-87B,EuRBP
Cdk1,EuRBP
Nrt,EuRBP
mts,EuRBP
nonA,EuRBP
Hrb87F,EuRBP
HmgD,EuRBP
Klp61F,EuRBP
unk,EuRBP
Pep,EuRBP
RpS14a,EuRBP
RpS14b,EuRBP
DNApol-gamma35,EuRBP
me31B,EuRBP
RpIII128,EuRBP
GlyP,EuRBP
Dbp73D,EuRBP
bgcn,EuRBP
Rrp1,EuRBP
B52,EuRBP
gl,EuRBP
Pgd,EuRBP
Hrb27C,EuRBP
RpII15,EuRBP
RpS2,EuRBP
piwi,EuRBP
enc,EuRBP
orb,EuRBP
Scsalpha1,EuRBP
tws,EuRBP
sob,EuRBP
Rb97D,EuRBP
14-3-3zeta,EuRBP
Arl2,EuRBP
Gnf1,EuRBP
eIF2beta,EuRBP
U2af50,EuRBP
RpS17,EuRBP
Calr,EuRBP
RpL7,EuRBP
faf,EuRBP
Pabp2,EuRBP
Rox8,EuRBP
Vha55,EuRBP
GluProRS,EuRBP
Aef1,EuRBP
RpL23,EuRBP
mAcon1,EuRBP
RpA-70,EuRBP
RpS15Aa,EuRBP
Dbp45A,EuRBP
Parp,EuRBP
Rbp4,EuRBP
Rbp9,EuRBP
RpS13,EuRBP
Ssrp,EuRBP
bys,EuRBP
brat,EuRBP
128up,EuRBP
Arf79F,EuRBP
Nc73EF,EuRBP
Gtp-bp,EuRBP
RNaseX25,EuRBP
RpS9,EuRBP
RpL18A,EuRBP
RpS18,EuRBP
RpS19a,EuRBP
mtSSB,EuRBP
NAT1,EuRBP
wal,EuRBP
Bka,EuRBP
Aldh-III,EuRBP
l(2)03659,EuRBP
CCT5,EuRBP
Nup214,EuRBP
Srp54k,EuRBP
sqz,EuRBP
ppan,EuRBP
Ref1,EuRBP
TrpRS,EuRBP
unc-45,EuRBP
l(3)07882,EuRBP
bol,EuRBP
pelo,EuRBP
blw,EuRBP
heph,EuRBP
RpL13,EuRBP
RpS4,EuRBP
Rsf1,EuRBP
Uch-L5,EuRBP
SrpRbeta,EuRBP
fzo,EuRBP
Iswi,EuRBP
La,EuRBP
lark,EuRBP
msi,EuRBP
RnrL,EuRBP
1-Sep,EuRBP
twin,EuRBP
tsr,EuRBP
dhd,EuRBP
mRpL12,EuRBP
Gem3,EuRBP
CG4038,EuRBP
Tis11,EuRBP
RpL11,EuRBP
pnut,EuRBP
Arf102F,EuRBP
Mtor,EuRBP
Chi,EuRBP
Rab2,EuRBP
Rab5,EuRBP
Rho1,EuRBP
mRpL47,EuRBP
Rnp4F,EuRBP
RpL7A,EuRBP
2-Sep,EuRBP
fax,EuRBP
Hel25E,EuRBP
mof,EuRBP
noi,EuRBP
CG11899,EuRBP
Cp7Fa,EuRBP
Mcm2,EuRBP
Ost48,EuRBP
Pglym78,EuRBP
Psi,EuRBP
Roe1,EuRBP
CCT3,EuRBP
Ddx1,EuRBP
eIF4E1,EuRBP
Fer1HCH,EuRBP
RpL22,EuRBP
Srp19,EuRBP
Ssb-c31a,EuRBP
abs,EuRBP
CG14906,EuRBP
RabX1,EuRBP
glu,EuRBP
FBgn0015393,EuRBP
Cul1,EuRBP
nonA-l,EuRBP
RpS21,EuRBP
peng,EuRBP
spag,EuRBP
Clp,EuRBP
Cnx99A,EuRBP
RpL9,EuRBP
rin,EuRBP
Rab11,EuRBP
Rab14,EuRBP
Rab18,EuRBP
Rab7,EuRBP
Rab6,EuRBP
Spx,EuRBP
eIF3i,EuRBP
dpa,EuRBP
hrg,EuRBP
mael,EuRBP
smg,EuRBP
CaMKI,EuRBP
Nlp,EuRBP
Past1,EuRBP
RpL29,EuRBP
angel,EuRBP
spen,EuRBP
snRNP-U1-70K,EuRBP
Nelf-E,EuRBP
U2af38,EuRBP
RpS3A,EuRBP
Rga,EuRBP
Pdk,EuRBP
ND-23,EuRBP
Mcm5,EuRBP
RpL14,EuRBP
Smg5,EuRBP
RpS20,EuRBP
RpI1,EuRBP
ND-42,EuRBP
Mitofilin,EuRBP
ATPsyngamma,EuRBP
ATPCL,EuRBP
pcm,EuRBP
lig,EuRBP
dom,EuRBP
crol,EuRBP
Nmt,EuRBP
eRF3,EuRBP
emb,EuRBP
CLIP-190,EuRBP
Rack1,EuRBP
Mcm7,EuRBP
Trxr-1,EuRBP
eIF4B,EuRBP
Rtc1,EuRBP
RpL3,EuRBP
SerRS-m,EuRBP
Nup154,EuRBP
scu,EuRBP
nudC,EuRBP
DCTN2-p50,EuRBP
l(2)k09913,EuRBP
Rs1,EuRBP
eIF3h,EuRBP
Nnp-1,EuRBP
Cse1,EuRBP
lolal,EuRBP
CG3760,EuRBP
CG10340,EuRBP
Tsf1,EuRBP
Pur-alpha,EuRBP
Cbp80,EuRBP
Cbp20,EuRBP
yps,EuRBP
qkr58E-3,EuRBP
qkr58E-2,EuRBP
qkr58E-1,EuRBP
qkr54B,EuRBP
Uba1,EuRBP
SmD3,EuRBP
RpL39,EuRBP
rnh1,EuRBP
eIF4G1,EuRBP
Chd3,EuRBP
Es2,EuRBP
Ocrl,EuRBP
eIF2Bepsilon,EuRBP
mRpL16,EuRBP
CG3071,EuRBP
Nmd3,EuRBP
waw,EuRBP
vig,EuRBP
sip1,EuRBP
drm,EuRBP
Srp54,EuRBP
Plap,EuRBP
MTPAP,EuRBP
CG11417,EuRBP
Bin1,EuRBP
Neos,EuRBP
mEFTu1,EuRBP
Dph5,EuRBP
Cpsf160,EuRBP
RpL10,EuRBP
Dbp80,EuRBP
DIP1,EuRBP
kin17,EuRBP
Tnpo,EuRBP
Irp-1B,EuRBP
Irp-1A,EuRBP
CG2701,EuRBP
ssx,EuRBP
eIF2Bbeta,EuRBP
CG4882,EuRBP
Thiolase,EuRBP
Ip259,EuRBP
CycT,EuRBP
SF1,EuRBP
eIF3e,EuRBP
CG16989,EuRBP
Rtca,EuRBP
beta'COP,EuRBP
TBPH,EuRBP
Fen1,EuRBP
Top3beta,EuRBP
KP78b,EuRBP
Nsun2,EuRBP
Tip60,EuRBP
tyf,EuRBP
Adar,EuRBP
CG14817,EuRBP
ApepP,EuRBP
nop5,EuRBP
gus,EuRBP
eIF1A,EuRBP
msk,EuRBP
eIF5B,EuRBP
bonsai,EuRBP
aft,EuRBP
5-Sep,EuRBP
FBgn0026370,EuRBP
RpL23A,EuRBP
RpII33,EuRBP
Hsc70Cb,EuRBP
HDAC6,EuRBP
Drp1,EuRBP
CG1307,EuRBP
hang,EuRBP
tacc,EuRBP
l(1)G0045,EuRBP
l(1)G0007,EuRBP
drosha,EuRBP
CG7857,EuRBP
Trap1,EuRBP
Rad23,EuRBP
CSN1b,EuRBP
Eb1,EuRBP
ValRS,EuRBP
TyrRS,EuRBP
ThrRS,EuRBP
ProRS-m,EuRBP
MetRS-m,EuRBP
LysRS,EuRBP
LeuRS-m,EuRBP
IleRS,EuRBP
HisRS,EuRBP
GlyRS,EuRBP
GlnRS,EuRBP
CysRS,EuRBP
ArgRS,EuRBP
AlaRS,EuRBP
Idh3a,EuRBP
CCT6,EuRBP
l(1)G0020,EuRBP
Kap-alpha3,EuRBP
fz3,EuRBP
RecQ5,EuRBP
MRG15,EuRBP
AdSS,EuRBP
RpS10a,EuRBP
Tnks,EuRBP
tapas,EuRBP
nito,EuRBP
CG8108,EuRBP
Cand1,EuRBP
PCB,EuRBP
GCS2alpha,EuRBP
GstE12,EuRBP
CG2790,EuRBP
CG8611,EuRBP
Ythdc1,EuRBP
CG5808,EuRBP
eIF3j,EuRBP
glob1,EuRBP
SMC2,EuRBP
Prp18,EuRBP
Lrpprc2,EuRBP
Dp1,EuRBP
Dgp-1,EuRBP
CstF64,EuRBP
Cpsf100,EuRBP
FBgn0027885,EuRBP
ball,EuRBP
msps,EuRBP
MBD-like,EuRBP
l(1)G0320,EuRBP
ATPsyndelta,EuRBP
cyp33,EuRBP
Nxt1,EuRBP
RNaseZ,EuRBP
Nab2,EuRBP
Non1,EuRBP
CG4119,EuRBP
Mtpalpha,EuRBP
mTTF,EuRBP
x16,EuRBP
hfp,EuRBP
mRpL50,EuRBP
Adat1,EuRBP
spt4,EuRBP
Rpn7,EuRBP
Rpn6,EuRBP
Rpn2,EuRBP
Rpn12,EuRBP
Rpn1,EuRBP
RpL15,EuRBP
Fmr1,EuRBP
eEF1beta,EuRBP
CG5033,EuRBP
jhamt,EuRBP
CG15262,EuRBP
CG15269,EuRBP
CG3491,EuRBP
CG17328,EuRBP
AlaRS-m,EuRBP
Spt6,EuRBP
Uba2,EuRBP
NHP2,EuRBP
Mkrn1,EuRBP
Fkbp59,EuRBP
eEF1gamma,EuRBP
CHORD,EuRBP
312,EuRBP
CG18273,EuRBP
eIF3g1,EuRBP
CG10802,EuRBP
CG10803,EuRBP
CG2875,EuRBP
CG6379,EuRBP
CG3527,EuRBP
CG11444,EuRBP
mRpL30,EuRBP
CG15930,EuRBP
Sas10,EuRBP
RpL35,EuRBP
Shmt,EuRBP
MCTS1,EuRBP
Marf,EuRBP
CG14443,EuRBP
CG3226,EuRBP
CG3224,EuRBP
CG3198,EuRBP
ND-ASHI,EuRBP
RpL17,EuRBP
FBgn0029899,EuRBP
Atx-1,EuRBP
CG14434,EuRBP
CG3032,EuRBP
CG1677,EuRBP
Rab39,EuRBP
mahe,EuRBP
Upf2,EuRBP
alpha-PheRS,EuRBP
CG2129,EuRBP
CG10959,EuRBP
CG18262,EuRBP
Trf4-1,EuRBP
CG1785,EuRBP
CG1789,EuRBP
Rbm13,EuRBP
CG7246,EuRBP
CG6999,EuRBP
Arfrp1,EuRBP
Aladin,EuRBP
RpS28b,EuRBP
CG1354,EuRBP
CG2990,EuRBP
CG2972,EuRBP
CG2889,EuRBP
CG1582,EuRBP
CG2145,EuRBP
Klp10A,EuRBP
Spase25,EuRBP
CG2247,EuRBP
CG1703,EuRBP
prtp,EuRBP
CG1578,EuRBP
Upf1,EuRBP
Lsm12,EuRBP
Usp7,EuRBP
CG1924,EuRBP
mRpL49,EuRBP
Coq5,EuRBP
CG1622,EuRBP
CG15747,EuRBP
Rbp1-like,EuRBP
CG2691,EuRBP
DNAlig4,EuRBP
CG11164,EuRBP
Pdcd4,EuRBP
CG10993,EuRBP
mRpL38,EuRBP
CG1434,EuRBP
mRNA-cap,EuRBP
CG14414,EuRBP
mRpS25,EuRBP
CG5347,EuRBP
Lsd-2,EuRBP
RpL37a,EuRBP
PPYR1,EuRBP
CG5877,EuRBP
CG6227,EuRBP
CG9213,EuRBP
CG8097,EuRBP
CG9281,EuRBP
CG8944,EuRBP
mRpL3,EuRBP
RpIIIC160,EuRBP
mRpS30,EuRBP
CG8578,EuRBP
Rrp47,EuRBP
eIF5,EuRBP
CG8939,EuRBP
CG9784,EuRBP
mRpL22,EuRBP
Rrp45,EuRBP
CG9125,EuRBP
Rcp,EuRBP
DENR,EuRBP
CG8915,EuRBP
ND-24,EuRBP
CG5800,EuRBP
IntS2,EuRBP
CG8173,EuRBP
CG6769,EuRBP
CG7206,EuRBP
Nup35,EuRBP
CG6617,EuRBP
CG18259,EuRBP
CG6961,EuRBP
CG7332,EuRBP
CG14210,EuRBP
Ranbp21,EuRBP
Elys,EuRBP
Ssu72,EuRBP
CG14230,EuRBP
Nup205,EuRBP
Rab35,EuRBP
Obp19c,EuRBP
CG11710,EuRBP
Ntf-2,EuRBP
CG14618,EuRBP
CG11454,EuRBP
CG3709,EuRBP
mRpL10,EuRBP
CG3645,EuRBP
CG13690,EuRBP
Sf3b1,EuRBP
CG4291,EuRBP
CG4887,EuRBP
CG4896,EuRBP
Tgt,EuRBP
mRpL48,EuRBP
CG17652,EuRBP
CG15362,EuRBP
tho2,EuRBP
AIF,EuRBP
papi,EuRBP
CG15390,EuRBP
Cwc25,EuRBP
HemK2,EuRBP
Tnpo-SR,EuRBP
CG2862,EuRBP
CG9641,EuRBP
CG9643,EuRBP
CG3542,EuRBP
Sf3b2,EuRBP
CG17219,EuRBP
SerRS,EuRBP
Art2,EuRBP
CG15440,EuRBP
CG3294,EuRBP
CG3225,EuRBP
mxt,EuRBP
mRpS2,EuRBP
CG3008,EuRBP
mRpL24,EuRBP
Marcal1,EuRBP
CG3756,EuRBP
mRpL28,EuRBP
SelT,EuRBP
CG14036,EuRBP
CG11030,EuRBP
CG9107,EuRBP
CG9117,EuRBP
CG9135,EuRBP
ND-51,EuRBP
Pfdn1,EuRBP
HemK1,EuRBP
Phf5a,EuRBP
CG9596,EuRBP
Rat1,EuRBP
Rab30,EuRBP
Caper,EuRBP
CG6441,EuRBP
r2d2,EuRBP
RpL36A,EuRBP
CG12375,EuRBP
CG8460,EuRBP
Mettl14,EuRBP
CG13390,EuRBP
CG13096,EuRBP
CG13097,EuRBP
mRpL51,EuRBP
CG4364,EuRBP
CG4036,EuRBP
CG13124,EuRBP
Etl1,EuRBP
CG4598,EuRBP
CG4619,EuRBP
CG13126,EuRBP
CG4709,EuRBP
CG4901,EuRBP
eEF1delta,EuRBP
CG5676,EuRBP
mRpS7,EuRBP
CG17768,EuRBP
CG5355,EuRBP
RluA-2,EuRBP
CG6144,EuRBP
CG6094,EuRBP
CG17098,EuRBP
CG12299,EuRBP
Art8,EuRBP
Csl4,EuRBP
CG6287,EuRBP
CG6686,EuRBP
Pex19,EuRBP
CG6712,EuRBP
CG6388,EuRBP
Ref2,EuRBP
CCT4,EuRBP
CG6180,EuRBP
CG5787,EuRBP
Pih1D1,EuRBP
mRF1,EuRBP
Ski6,EuRBP
CG6523,EuRBP
loqs,EuRBP
RpL24,EuRBP
Tpr2,EuRBP
CG17904,EuRBP
CG12288,EuRBP
CG6304,EuRBP
CG15136,EuRBP
Rpb11,EuRBP
mEFTs,EuRBP
Ntf-2r,EuRBP
CG10333,EuRBP
CG10341,EuRBP
mRpL13,EuRBP
CG10602,EuRBP
ssp3,EuRBP
CG10428,EuRBP
Nedd8,EuRBP
CG10495,EuRBP
CG17568,EuRBP
RtcB,EuRBP
CG10237,EuRBP
CG13084,EuRBP
CG13083,EuRBP
CG10628,EuRBP
CG10463,EuRBP
CG10466,EuRBP
COX4,EuRBP
mRpS18B,EuRBP
CG2608,EuRBP
CG2614,EuRBP
Cen,EuRBP
Ns4,EuRBP
Rhau,EuRBP
CG9253,EuRBP
Mpp6,EuRBP
Coq3,EuRBP
Nbr,EuRBP
CG9246,EuRBP
CG1421,EuRBP
RpL21,EuRBP
CG3107,EuRBP
Not3,EuRBP
CG7849,EuRBP
Ars2,EuRBP
CG9422,EuRBP
CG3420,EuRBP
Gadd45,EuRBP
Dhx15,EuRBP
CG11123,EuRBP
mEFTu2,EuRBP
Nop17l,EuRBP
CG8728,EuRBP
ACC,EuRBP
CG12769,EuRBP
Nup50,EuRBP
Gle1,EuRBP
CG8635,EuRBP
AIMP1,EuRBP
PAN2,EuRBP
tsu,EuRBP
Phax,EuRBP
Lsm11,EuRBP
Marc,EuRBP
CG1671,EuRBP
CG12128,EuRBP
CG12129,EuRBP
mRpL42,EuRBP
RpLP0-like,EuRBP
CG12917,EuRBP
CG18011,EuRBP
trsn,EuRBP
CG7637,EuRBP
Lsm10,EuRBP
RpS15Ab,EuRBP
CG12343,EuRBP
CG12325,EuRBP
CG12942,EuRBP
Rpb5,EuRBP
CG7741,EuRBP
tou,EuRBP
Prp8,EuRBP
EndoG,EuRBP
RpS11,EuRBP
CG8545,EuRBP
muskelin,EuRBP
CG4679,EuRBP
cbc,EuRBP
Echs1,EuRBP
CG16935,EuRBP
CG6701,EuRBP
CG8067,EuRBP
CysRS-m,EuRBP
eIF3m,EuRBP
ReepB,EuRBP
mRpS16,EuRBP
RpS23,EuRBP
tej,EuRBP
Arc1,EuRBP
CG17385,EuRBP
Achl,EuRBP
CG8089,EuRBP
CG7544,EuRBP
mRpL41,EuRBP
CG8079,EuRBP
CG8152,EuRBP
Rrp42,EuRBP
CG8441,EuRBP
clu,EuRBP
mrj,EuRBP
krimp,EuRBP
RpS15,EuRBP
AsnRS-m,EuRBP
CG6805,EuRBP
CG8963,EuRBP
CG6967,EuRBP
CG10950,EuRBP
CG4866,EuRBP
eIF3b,EuRBP
Ns2,EuRBP
Dcr-2,EuRBP
eIF3c,EuRBP
CG10931,EuRBP
OstDelta,EuRBP
CG10914,EuRBP
CG5726,EuRBP
CG5174,EuRBP
rswl,EuRBP
mRpS28,EuRBP
Atg7,EuRBP
CG15093,EuRBP
MetRS,EuRBP
CG7137,EuRBP
CG7461,EuRBP
Arl6,EuRBP
CG9143,EuRBP
CG18067,EuRBP
CG11180,EuRBP
CG9344,EuRBP
CG9346,EuRBP
mRpL54,EuRBP
CG4266,EuRBP
eEFSec,EuRBP
CG10321,EuRBP
Rae1,EuRBP
eIF3k,EuRBP
CG4021,EuRBP
Synj,EuRBP
CG3045,EuRBP
mRpS29,EuRBP
CG10384,EuRBP
CG4554,EuRBP
CG4610,EuRBP
CG3927,EuRBP
nsr,EuRBP
CG4294,EuRBP
RpS16,EuRBP
CG17807,EuRBP
CG3732,EuRBP
RYBP,EuRBP
CNBP,EuRBP
RpL37b,EuRBP
